stock_number,brand,model,sub_type,horse_power,gear_type,fuel_type,mileage,build_year,co2_emission,expected_sales_price,sold_price
WV61255,Dacia,Duster II,1.3 TCe GPF,150,Manual,Benzin,42846,2019,139,18990,18099.0
FV47094,Audi,A1,1.4 TFSI Attraction,125,Manual,Benzin,69015,2018,119,19299,18299.0
YB09065,Mercedes-Benz,CLA-Klasse,CLA 200 d,135,Automatic,Diesel,155556,2016,105,22999,22999.0
JW25266,Toyota,RAV 4,2.5 Hybrid,197,Automatic,Other,83109,2017,118,23000,21999.0
LV35687,Peugeot,208,1.2 PureTech,110,Automatic,Benzin,20574,2019,104,15299,15299.0
PX53858,Citroen,C4 Cactus,1.6 Blue-HDi,100,Manual,Diesel,105026,2015,92,11999,11999.0
DN05816,Mercedes-Benz,GLA-Klasse,GLA 200 d,135,Duplex,Diesel,91976,2017,108,26990,23999.0
PL38531,Volkswagen,Polo,Sport 1.0 ,95,Manual,Benzin,58478,2017,103,16750,16099.0
CF33742,Citroen,C1,1.2 PureTech,82,Manual,Benzin,61728,2017,99,9999,9399.0
RG87203,Peugeot,108,1.0 VTi,70,Automatic,Benzin,32646,2017,97,10590,10599.0
DP93992,Honda,Civic,1.5 VTEC,182,Manual,Benzin,34370,2018,133,25950,24699.0
XF20661,Ford,Focus,1.0 EcoBoost,125,Manual,Benzin,11952,2019,114,21900,19399.0
BW00317,Ford,Kuga,2.0 TDCi,150,Manual,Diesel,77806,2018,120,22000,20699.0
VG46244,Citroen,C4 Cactus,1.6 Blue-HDi,100,Manual,Diesel,148775,2016,95,10400,10399.0
DN52953,Mitsubishi,Pajero,3.2 DID,200,Manual,Diesel,133032,2015,213,22490,21899.0
UG63213,Citroen,Berlingo,1.2 PureTech,110,Manual,Benzin,119778,2016,119,13999,13999.0
NW15917,Peugeot,3008,1.2 PureTech,130,Manual,Benzin,51486,2018,120,24400,21999.0
PY69262,Peugeot,Partner,1.6 Blue-HDi,100,Manual,Diesel,46360,2017,113,17900,17899.0
KZ49373,Opel,Astra,1.6 CDTI SS,110,Manual,Diesel,154415,2014,97,8500,8499.0
XU83283,Peugeot,208,1.2 e-VTi,82,Manual,Benzin,37410,2017,109,11699,11399.0
HM17282,Dacia,Lodgy,dCi  80kw 107cv 5pl,107,Manual,Diesel,139290,2016,105,11999,11499.0
PW73929,Peugeot,208,1.2 e-VTi,82,Manual,Benzin,44583,2016,104,10699,10299.0
XA40334,Seat,Leon,1.8 TSI,180,Manual,Benzin,74037,2015,138,16499,16499.0
RB16231,Citroen,Berlingo,1.5 Blue-HDi,102,Manual,Diesel,34466,2018,112,23999,23999.0
AZ61136,Audi,A1,Adrenalin ,95,Manual,Benzin,87601,2017,98,15490,15499.0
LY50232,Fiat,500L,1.4,95,Manual,Benzin,32048,2017,143,12900,12699.0
TH62815,Ford,Fiesta,1.0 EcoBoost,100,Manual,Benzin,22397,2019,111,15750,14299.0
PK25136,Volkswagen,Scirocco,1.4 TSI,125,Manual,Benzin,121004,2015,125,16499,15799.0
RM27530,Renault,Captur,1.5 dCi ,90,Manual,Diesel,86635,2016,95,14500,14199.0
VG05572,Jaguar,E-Pace,2.0 ,150,Automatic,Diesel,40815,2018,147,32499,32499.0
EY56705,Peugeot,208,1.2 PureTech,101,Manual,Benzin,46391,2020,97,16499,16499.0
CK60572,Hyundai,IONIQ,1.6 Hybrid,141,Automatic,Other,95051,2016,79,14999,15299.0
UR53338,Mercedes-Benz,A-Klasse,A 180,122,Duplex,Benzin,36042,2017,126,23990,23999.0
UZ22506,Kia,Niro,1.6 GDi,104,Automatic,Other,45299,2018,86,20499,20499.0
SX90364,Volkswagen,Polo,1.0,75,Manual,Benzin,113131,2017,108,10500,10299.0
SB64711,Hyundai,Tucson,1.7 CRDi Klass BlueDrive,115,Manual,Diesel,53550,2017,119,20999,19499.0
RE54037,Toyota,C-HR,1.8 Hybrid,122,Automatic,Other,62256,2019,86,22499,22499.0
FH00835,MINI,MINI,Cooper,135,Manual,Benzin,10946,2018,122,22699,22299.0
PZ66115,Renault,Clio,1.5 dCi Energy,90,Manual,Diesel,51918,2019,104,14650,13999.0
HS15791,Seat,Ibiza,1.0 EcoTSI,95,Manual,Benzin,46165,2018,106,15490,14999.0
AV59455,Renault,Clio,1.2,73,Manual,Benzin,47950,2015,127,9499,9499.0
DD14411,Volkswagen,Sharan,2.0 TDI,177,Duplex,Diesel,83319,2019,147,32609,32799.0
SP07403,Peugeot,208,1.2 PureTech,101,Manual,Benzin,8057,2020,118,18350,16899.0
VH21457,Audi,A1,1.0 TFSI,95,Manual,Benzin,36944,2017,98,17490,17199.0
VC98697,Citroen,C4 Grand Picasso,1.2 e-THP,130,Manual,Benzin,76116,2017,116,17700,17299.0
RH65653,Volkswagen,Passat,2.0 TDI Advance,150,Manual,Diesel,45613,2018,112,23150,22899.0
PN14783,Volkswagen,Golf,1.0 TSI 85 115 ,116,Manual,Benzin,30529,2019,111,18990,17999.0
YF12857,Nissan,X-Trail,1.6 dCi,130,Manual,Diesel,50303,2017,133,19999,19999.0
HM71871,Dacia,Logan II,1.5 dCi,90,Manual,Diesel,46420,2014,99,8000,7999.0
ZK76268,Kia,Stonic,1.0 TGDI,101,Manual,Benzin,58827,2019,123,15900,15399.0
GJ05327,Toyota,Yaris,1.5 Hybrid,101,Automatic,Other,15433,2019,89,18999,18999.0
YP56497,Citroen,C3,1.0 VTi,68,Manual,Benzin,49665,2013,99,8499,8499.0
RA22150,Citroen,C4 Grand Picasso,1.6 Blue-HDi,100,Manual,Diesel,116460,2016,99,16499,16499.0
TM39672,Kia,Sportage,1.6 GDI,132,Manual,Benzin,21307,2019,157,20999,20999.0
MW75289,Peugeot,Partner,Tepee 1.6 Blue-HDi,100,Manual,Diesel,49238,2016,113,16700,16799.0
TG99828,Kia,Carens,1.6 GDI Drive,135,Manual,Benzin,48605,2017,150,14990,14999.0
WU98356,Skoda,Yeti,1.2 TSI,105,Manual,Benzin,143899,2013,142,12990,12199.0
MR54490,Peugeot,Rifter,Active,102,Manual,Diesel,49126,2019,113,22490,22299.0
KR21495,Citroen,Berlingo,20 Aniversario,99,Manual,Diesel,127654,2017,113,16490,16099.0
NW89330,Land Rover,Discovery Sport,2.0 eD4,150,Manual,Diesel,51381,2017,123,27550,26799.0
NR02348,Ford,Ka,1.2 Duratec,70,Manual,Benzin,79971,2015,115,7499,7499.0
DG41904,Mazda,CX-5,2.0 GE,165,Manual,Benzin,17968,2017,149,22350,22399.0
DB39712,Skoda,Superb,2.0 TDI Combi,150,Manual,Diesel,90117,2018,113,20900,20299.0
HT23261,Hyundai,i30,1.4,100,Manual,Benzin,89037,2016,125,11999,11899.0
GS78869,Citroen,C4 Cactus,1.6 e-HDi,92,Semi-Automatic,Diesel,69338,2014,94,11500,11499.0
GG26917,Citroen,C4 Cactus,1.2 PureTech 82cv,82,Manual,Benzin,83125,2016,100,11390,11399.0
WX65595,Fiat,500,1.2 Lounge,70,Manual,Benzin,101165,2016,115,9499,9499.0
LJ97633,Seat,Tarraco,2.0 TDI SS,150,Manual,Diesel,12355,2021,142,31999,31199.0
SA22366,Smart,forfour,1.0 52Kw,70,Manual,Benzin,95681,2014,97,8499,8499.0
VD16971,Volkswagen,Passat,1.6 TDI,120,Manual,Diesel,119432,2015,105,15799,15799.0
JX01267,Dacia,Sandero II,1.5 dCi Blue,95,Manual,Diesel,19922,2019,102,14250,13999.0
BR34225,Peugeot,2008,1.4 PureTech,155,Automatic,Benzin,35792,2020,113,28499,28499.0
AU55616,Mitsubishi,ASX,1.6,117,Manual,Benzin,36263,2018,152,17999,17999.0
AE50374,Audi,Q5,2.0 TFSI,210,Manual,Benzin,155809,2011,188,13600,13399.0
CB09507,BMW,1er,118i,135,Automatic,Benzin,75065,2018,122,22399,22099.0
AH46139,Nissan,Juke,1.2 DIGT,115,Manual,Benzin,58472,2016,128,13999,13399.0
GX55237,Dacia,Duster,1.5 dCi,110,Manual,Diesel,78077,2015,115,13199,12599.0
FZ96999,Ford,Ka+,1.2 Ti-VCT,85,Manual,Benzin,54507,2019,114,11200,10399.0
XC60204,Lexus,NX-Serie,2.5 300h,155,Automatic,Other,86890,2017,117,25990,25499.0
MJ59150,Renault,Megane,1.2 TCe Energy,132,Duplex,Benzin,11892,2018,122,17999,17999.0
JT07074,Volvo,XC 60,2.0 T4,190,Automatic,Benzin,19712,2020,165,41050,38299.0
GG66074,Kia,pro_cee'd,1.0 TGDI,120,Manual,Benzin,56342,2017,115,13490,13499.0
AA32402,Seat,Ateca,1.5 TSI,150,Manual,Benzin,4304,2020,126,26490,26499.0
FH68420,Dacia,Sandero II,Stepway,90,Manual,Benzin,46651,2017,115,12300,11199.0
SM83395,Kia,Niro,1.6 GDI HEV,141,Automatic,Other,254,2021,110,28999,27399.0
JS38327,Hyundai,i30,1.4,100,Manual,Benzin,105528,2013,139,8799,8799.0
VZ56283,Toyota,Auris,1.2 Turbo,115,Manual,Benzin,124505,2016,112,12499,12499.0
WR48327,Skoda,Fabia,1.6 TDI,75,Manual,Diesel,81172,2013,109,7900,7899.0
HB86655,Audi,A4,2.0 TDI,150,Automatic,Diesel,61270,2014,127,18000,17799.0
AY92817,Seat,Leon,2.0 TDI,150,Manual,Diesel,88875,2014,106,15999,15999.0
UB01277,Peugeot,3008,1.5 Blue-HDi,130,Automatic,Diesel,86922,2018,108,25350,22999.0
HH97529,Nissan,Micra,1.5 dCi,90,Manual,Diesel,42678,2017,85,14600,14099.0
XH39108,Toyota,AYGO,1.0 70,68,Manual,Benzin,73739,2013,99,7499,7299.0
UJ59408,Kia,Soul,1.6 GDI,132,Manual,Benzin,71754,2017,148,14499,14299.0
NB30102,Toyota,Yaris,1.5 Hybrid,116,Automatic,Other,19485,2021,87,21499,21499.0
YC91850,Mercedes-Benz,C-Klasse,C 220 d,170,Automatic,Diesel,97995,2014,118,22995,22999.0
SX46126,Ford,EcoSport,1.0 EcoBoost,125,Manual,Benzin,61955,2019,119,17799,17399.0
MP75779,Kia,cee'd,1.6 CRDi,136,Manual,Diesel,24338,2019,114,20999,20999.0
YB39846,Ssangyong,Korando,2.0 TD,150,Manual,Diesel,106421,2014,147,13400,12899.0
SS44364,Volkswagen,Golf VII,1.4 TSI,125,Manual,Benzin,34349,2017,120,19293,17699.0
DL49035,Skoda,Fabia,1.2,60,Manual,Benzin,73585,2014,128,7000,7499.0
KN33929,Ford,Fiesta,1.1,85,Manual,Benzin,64868,2018,107,12799,12599.0
JG45973,Peugeot,5008,2.0 Blue-HDi,150,Manual,Diesel,45178,2017,118,26999,26999.0
NU82590,Seat,Ibiza,1.6 TDI,90,Manual,Diesel,125831,2010,109,6899,6899.0
ZV00204,Citroen,Berlingo,1.6 Blue-HDi,120,Manual,Diesel,120191,2016,113,16999,16299.0
MW47215,Renault,Kadjar,1.6 dCi ,130,Manual,Diesel,135205,2017,113,15399,15399.0
MD34389,Dacia,Sandero II,0.9 TCe,90,Manual,Benzin,63909,2017,115,11799,11799.0
YK33823,Audi,A4,2.0 TDI,150,Duplex,Diesel,74283,2018,109,25999,25999.0
FJ65313,Toyota,AYGO,1.0,68,Automatic,Benzin,39978,2014,104,9000,8999.0
LH52976,Mercedes-Benz,A-Klasse,A 200 d,135,Automatic,Diesel,68188,2016,103,24750,23399.0
SA18142,Mitsubishi,ASX,1.6 DI-D,115,Manual,Diesel,95476,2015,119,15900,14799.0
WH48523,Seat,Ibiza,1.0,95,Manual,Benzin,37343,2019,105,14500,14199.0
VN76899,Citroen,C4 Cactus,1.5 Blue-HDi,102,Manual,Diesel,50578,2019,98,17200,16699.0
VA47279,Peugeot,Partner,1.6 Blue-HDi,120,Manual,Diesel,158480,2018,113,16499,16499.0
PW66071,Toyota,Auris Touring Sports,1.8 Hybrid,100,Automatic,Other,132447,2014,92,13699,13699.0
XN33502,Fiat,500X,1.4 103kw 140cv ,140,Automatic,Benzin,22491,2018,133,18000,17999.0
KN75721,Seat,Arona,1.0 TSI,115,Manual,Benzin,45971,2018,113,20296,17099.0
XM89963,Nissan,Micra,0.9 IGT SS,90,Manual,Benzin,49842,2018,118,13799,13599.0
DD39965,Citroen,C3,1.2 PureTech,82,Manual,Benzin,49767,2019,109,13499,13499.0
XD55919,BMW,1er,118d,150,Automatic,Diesel,12547,2019,109,32500,29599.0
DS91709,Citroen,C3,1.2 PureTech,82,Manual,Benzin,48258,2018,109,13090,12499.0
HS95487,Skoda,Fabia,1.0 MPI,75,Manual,Benzin,43290,2018,111,11499,11499.0
FY24826,Toyota,Auris,1.8 140H ,100,Automatic,Other,64525,2016,91,15999,15999.0
XW66257,Hyundai,i20,1.4 CRDi,90,Manual,Diesel,89440,2017,102,12000,11999.0
HE21773,Mitsubishi,Outlander,2.2 DID,150,Manual,Diesel,50343,2017,134,20300,20299.0
JH17625,Ford,Ka+,1.2 Ti-VCT,85,Manual,Benzin,55576,2018,114,10899,10899.0
DV57709,Citroen,C5 Aircross,1.2 PureTech,131,Manual,Benzin,32314,2019,119,24190,22499.0
MY86955,Toyota,Corolla,2.0 180H,179,Automatic,Other,74409,2019,89,22999,22999.0
TZ64829,Skoda,Kamiq,1.6 TDI,116,Automatic,Diesel,44150,2020,111,23799,23799.0
GD17328,Citroen,C4 Grand Picasso,1.2 PureTech S&S ,130,Manual,Benzin,62057,2017,116,17768,17599.0
LA69348,Renault,Megane,1.3 TCe,140,Manual,Benzin,15106,2019,125,18299,17499.0
WH52466,BMW,X2,sDrive 18i,140,Manual,Benzin,30302,2019,130,29999,29999.0
VH35995,Fiat,500L,1.4,95,Manual,Benzin,24379,2016,143,13630,12099.0
XU63724,Kia,Sportage,1.6 GDi,132,Manual,Benzin,76709,2017,156,17000,16299.0
KZ48260,Peugeot,208,1.6 BlueHDi 73kw 100cv ,100,Manual,Diesel,92781,2018,90,13399,13199.0
XD62583,Ford,Tourneo Connect,1.0 EcoBoost,100,Manual,Benzin,33035,2019,135,21090,21099.0
NZ95773,Seat,Ibiza,1.2 TSI,105,Automatic,Benzin,114764,2013,124,9999,9899.0
CL59699,Peugeot,Rifter,BlueHDi,131,Manual,Diesel,44155,2019,115,26000,24899.0
ES91883,Nissan,Juke,1.6 DIGT,190,Automatic,Benzin,94951,2010,175,11000,10999.0
RH20592,Fiat,Tipo,1.3 M-Jet,95,Manual,Diesel,55641,2018,111,12990,12799.0
YD63667,Fiat,500,1.2 Collezione,70,Automatic,Benzin,37186,2019,120,14360,14399.0
UB56679,Toyota,Auris,1.8 Hybrid,100,Automatic,Other,66955,2017,82,15990,15999.0
YU79470,Dacia,Logan MCV II,1.5 Blue dCi,95,Manual,Diesel,35762,2019,103,14799,14799.0
BJ56209,Mercedes-Benz,A-Klasse,A 180 d,115,Duplex,Diesel,26834,2020,101,31490,29399.0
FC50166,Renault,Scenic,1.5 dCi Energy,110,Manual,Diesel,48813,2018,100,21050,19499.0
DY63340,Ford,Kuga,1.5 EcoBoost,120,Manual,Benzin,38277,2019,156,20499,19599.0
KM03751,Fiat,500,1.2 8v,70,Manual,Benzin,61541,2018,115,11000,10999.0
XJ28652,Citroen,Berlingo,1.2 e-THP,110,Manual,Benzin,41423,2017,119,16500,16499.0
ET50901,Peugeot,208,Tech Edit,110,Automatic,Benzin,24938,2018,116,15490,14899.0
TX81122,Nissan,Qashqai,1.5 dCi,110,Manual,Diesel,55928,2017,99,18699,18699.0
SX72783,Hyundai,i10,1.0,67,Manual,Benzin,50840,2016,108,9199,9199.0
LB33182,Dacia,Sandero II,Stepway,90,Manual,Benzin,46015,2018,127,12699,12699.0
TL55787,Opel,Corsa,1.2,85,Automatic,Benzin,42371,2014,125,8799,8799.0
FB44773,Fiat,500,1.2 8v,70,Manual,Benzin,70748,2016,115,9000,8999.0
FX81998,Ford,Tourneo,1.0 EcoBoost,100,Manual,Benzin,60602,2019,131,17500,16699.0
EJ40120,Citroen,DS4,1.6 Blue-HDi,120,Manual,Diesel,38957,2018,100,16499,16499.0
ZU02278,Kia,Carens,1.6 GDI,135,Manual,Benzin,45612,2018,150,16999,16999.0
AJ14819,Renault,Captur,TCe,131,Manual,Benzin,63634,2019,128,16999,16999.0
LL09879,Nissan,NV200 Evalia,1.5 dCi,110,Manual,Diesel,29502,2017,130,21499,21499.0
YB79399,Seat,Ibiza,1.0 TSI,116,Manual,Benzin,2728,2020,123,18000,18099.0
GL46750,Volkswagen,Golf VIII, Life,150,Automatic,Other,6260,2021,130,28499,28499.0
BT05912,Renault,Captur,Energy,90,Manual,Benzin,11791,2018,122,17490,17199.0
XS72978,Smart,forfour,0.9 Turbo,90,Duplex,Benzin,59680,2016,98,12299,12299.0
DU91318,Volkswagen,T-Cross,1.5 TSI ACT,150,Duplex,Benzin,5079,2021,136,26990,26699.0
FF37170,Nissan,X-Trail,1.6 dCi,130,Manual,Diesel,138962,2016,133,16299,16299.0
XH32167,Ford,Mondeo,2.0 Hybrid,187,Automatic,Other,57592,2020,96,24999,24999.0
EB98678,Alfa Romeo,Giulia,2.2 JTDM,150,Manual,Diesel,40352,2017,109,23953,22899.0
YH83004,Hyundai,Tucson,1.6 GDI BlueDrive,132,Manual,Benzin,33477,2018,147,19690,19699.0
EY06762,Citroen,C3,PureTech ,82,Manual,Benzin,7334,2021,123,16799,15199.0
GK07856,Toyota,RAV 4,2.5 Hybrid,218,Automatic,Other,19606,2018,105,34000,33999.0
BK71176,Seat,Leon,1.2 TSI SS,105,Manual,Benzin,85170,2014,114,12899,12899.0
DV55846,Seat,Leon,1.5 TSI,131,Manual,Benzin,55628,2020,112,20999,20499.0
WK97935,Hyundai,i30,1.4 TGDI,140,Duplex,Benzin,39405,2018,129,19800,18399.0
JG97786,Peugeot,3008,1.6 Blue-HDi 120,120,Manual,Diesel,70854,2015,108,13500,13199.0
JX76340,Renault,Kangoo,S.L Limited M1AF dCi 66 90,90,Manual,Diesel,41028,2018,119,15499,15499.0
AK36572,Fiat,500X,1.0 Firefly SS,120,Manual,Benzin,36545,2019,129,17999,17699.0
MW83347,Hyundai,Tucson,1.7 CRDi,140,Automatic,Diesel,128885,2017,129,18999,18999.0
MN81507,Peugeot,3008,1.5 Blue-HDi S&S,130,Manual,Diesel,37869,2018,108,23500,23499.0
AJ55076,Skoda,Fabia,1.0 MPI,75,Manual,Benzin,16074,2018,111,12600,11299.0
VX14938,Toyota,AYGO,1.0,70,Manual,Benzin,39780,2014,95,9950,8899.0
LH28044,Lexus,NX-Serie,NX 300h,155,Automatic,Other,23522,2018,117,31490,31499.0
BW73587,Ford,Ka,1.2,70,Manual,Benzin,22992,2015,115,7550,7599.0
AX01011,Audi,Q3,2.0 TDI,150,Manual,Diesel,70609,2017,117,24999,23799.0
DU68833,Toyota,Yaris,1.5 Hybrid,75,Automatic,Other,82120,2015,75,13599,13399.0
MD24181,Citroen,C3,1.0 VTi,68,Manual,Benzin,116593,2015,102,8299,8299.0
UH66255,Volkswagen,CC,1.4 TSI,150,Automatic,Benzin,77916,2016,128,17700,16799.0
HL86814,Seat,Ibiza,SC 1.4 ,85,Manual,Benzin,42595,2011,139,7500,7499.0
NP17322,Toyota,Yaris,1.5 ,110,Manual,Benzin,77299,2018,109,12990,11999.0
FV50074,Peugeot,Rifter,1.5 BlueHDi,131,Manual,Diesel,53483,2018,116,24350,24399.0
EW53668,Hyundai,Tucson,1.6,132,Manual,Benzin,14266,2019,152,20500,20599.0
CH85047,Ford,Tourneo,1.5 TDCi,95,Manual,Diesel,32361,2017,104,15200,15199.0
BY97413,Mazda,CX-5,2.0 G ,165,Manual,Benzin,14098,2019,146,24799,24799.0
RZ65753,Seat,Ibiza,1.4 TSI,150,Duplex,Benzin,126373,2012,139,9999,9999.0
UF75189,Citroen,C4 Cactus,PureTech,82,Manual,Benzin,36338,2017,107,12650,12699.0
VS56582,Nissan,Micra,1.2,80,Manual,Benzin,40546,2014,115,8990,8799.0
BJ22123,Renault,Megane,1.5 dCi GT Style,110,Manual,Diesel,100582,2014,90,10990,10999.0
BU28974,BMW,1er,116d,115,Manual,Diesel,62207,2017,97,17500,17499.0
LP84176,Ford,Focus,2.0 EcoBoost,250,Manual,Benzin,51867,2018,159,24999,24999.0
DD91870,Nissan,Juke,1.2,115,Manual,Benzin,33938,2018,128,15590,14899.0
EC05791,Seat,Leon,1.5 TSI SS,131,Manual,Benzin,16896,2019,110,18950,17199.0
DY63566,Peugeot,2008,1.2 PureTech SS,110,Automatic,Benzin,79396,2017,110,15999,14899.0
VC53959,Skoda,Fabia,1.6 TDI,75,Manual,Diesel,136219,2015,109,8990,7899.0
KS36884,Ford,Focus,1.0 EcoBoost,125,Manual,Benzin,19635,2018,107,18490,17599.0
SJ00613,Toyota,AYGO,1.0 City,68,Manual,Benzin,28845,2012,99,7390,7399.0
NP58755,Toyota,C-HR,1.8 Hybrid,122,Automatic,Other,89607,2018,87,21499,21499.0
LZ74475,Nissan,Qashqai,1.3 DIG-T,140,Manual,Benzin,37489,2020,122,23690,22899.0
YH88867,BMW,1er,116d,115,Automatic,Diesel,64292,2016,103,18500,18899.0
DW16476,Seat,Ateca,1.0 TSI SS,110,Manual,Benzin,2940,2021,138,23999,22699.0
ZT87567,BMW,3er,320d,185,Automatic,Diesel,149196,2013,124,16490,16099.0
JZ62659,Renault,Grand Scenic,1.2 TCe ,132,Manual,Benzin,41615,2017,129,18600,17699.0
PT78581,Skoda,Fabia,1.0 MPI,75,Manual,Benzin,32588,2017,111,10990,10699.0
FP46917,Kia,Sportage,1.7 CRDi,115,Manual,Diesel,61384,2018,119,20499,20499.0
FA23535,Nissan,Micra,1.0G,71,Manual,Benzin,46394,2018,103,13900,12699.0
KN48644,Renault,Clio,1.5 dCi Energy,90,Manual,Diesel,57199,2017,85,14290,13799.0
LS27658,Hyundai,i20,1.2,75,Manual,Benzin,17357,2018,130,12900,12899.0
WZ07442,Audi,A1,1.6 TDI,115,Manual,Diesel,73667,2016,98,16500,16099.0
TJ70557,Dacia,Sandero II,0.9 TCe,90,Manual,Benzin,39240,2016,115,11590,10099.0
KM94779,Renault,Kadjar,1.2 TCe ,130,Manual,Benzin,24704,2017,130,19250,19299.0
EU17588,Suzuki,SX4 S-Cross,1.0 DITC GL,110,Manual,Benzin,85257,2017,113,15490,15499.0
FP26576,Toyota,AYGO,1.0  X-Play ,69,Manual,Benzin,61855,2017,95,10490,9999.0
NZ60352,Fiat,Doblo,1.6 JTDM,95,Manual,Diesel,72393,2016,137,12590,12599.0
CK00071,Seat,Ibiza,1.0 TSI,95,Manual,Benzin,57335,2018,106,13799,13799.0
EU92157,Mercedes-Benz,B-Klasse,B 200 d,150,Automatic,Diesel,19716,2019,115,30500,30499.0
AF82382,Seat,Leon,1.4 TSI,122,Manual,Benzin,55659,2014,120,13499,13499.0
FR39170,Audi,A5 Sportback,2.0 TFSI 180cv,180,Automatic,Benzin,130050,2010,169,13999,13999.0
CD97281,Peugeot,2008,1.2 PureTech S&S,131,Manual,Benzin,11843,2021,127,27400,26499.0
TN97077,Opel,Astra,1.6 CDTI,110,Manual,Diesel,141879,2015,109,9990,9999.0
WT47960,Peugeot,Partner,TEPEE Adventure,100,Manual,Diesel,38392,2018,113,18499,18499.0
JS74371,Smart,forfour,0.9 SS,90,Automatic,Benzin,5434,2019,117,16699,16699.0
GC27519,Toyota,Auris,Hybrid,100,Automatic,Other,66430,2013,91,13299,13299.0
ZD57097,Mazda,CX-3,2.0 89kw 121cv ,121,Manual,Benzin,23392,2018,141,19999,19599.0
CK51262,Mercedes-Benz,A-Klasse,A 180 CDI,110,Duplex,Diesel,58749,2018,101,22999,22999.0
FL20802,Toyota,Auris,1.8 Hybrid,100,Automatic,Other,20398,2017,91,19000,18099.0
MP59212,Citroen,C-Elysée,PureTech ,82,Manual,Benzin,61165,2018,110,11799,11799.0
CY64068,Opel,Grandland X,1.2,130,Manual,Benzin,47846,2018,117,18400,17599.0
WT14364,Ford,Fiesta,1.5 EcoBoost,200,Manual,Benzin,114370,2018,136,18400,17599.0
DM14818,Opel,Mokka X,1.4 T,140,Manual,Benzin,11041,2019,150,18300,18299.0
BT27300,Fiat,500,1.2,70,Manual,Benzin,55803,2013,119,8500,8399.0
XW89616,Kia,Sportage,1.6 GDi,132,Manual,Benzin,19140,2019,152,19990,19799.0
UA62133,Seat,Leon,1.5 TSI SS,131,Manual,Benzin,39000,2019,111,18990,16999.0
RT20861,Dacia,Logan MCV II,MCV Stepway Comfort,95,Manual,Diesel,44471,2019,103,13300,13299.0
GD69279,Audi,A1,1.6 TDI,90,Manual,Diesel,57725,2014,99,14999,14999.0
UJ19570,Nissan,Pulsar,1.5 Turbodiesel,110,Manual,Diesel,44303,2016,94,12990,12399.0
XL72188,Toyota,RAV 4,2.5 Hybrid,197,Automatic,Other,75669,2017,118,24999,24999.0
HW24082,Peugeot,308,2.0 Blue-HDi,150,Manual,Diesel,150098,2015,105,14499,14499.0
SL68172,Kia,Sportage,1.7 CRDi,115,Manual,Diesel,67166,2014,139,14600,14999.0
XP64454,Kia,Sportage,1.7 CRDi,115,Manual,Diesel,61632,2018,119,20900,20899.0
RD27252,Peugeot,308,1.2 PureTech S&S ,130,Manual,Benzin,99815,2016,104,12250,11899.0
YC21178,Peugeot,508,1.6 Blue-HDi,120,Manual,Diesel,81875,2015,103,14199,14099.0
